job,marital,education,default,housing,loan,y
services,single,high.school,unknown,yes,yes,yes
services,divorced,high.school,no,yes,yes,no
self-employed,married,basic.4y,unknown,yes,yes,no
admin.,single,high.school,no,no,no,no
technician,married,basic.9y,no,no,no,no
services,single,high.school,no,yes,no,no
housemaid,married,basic.4y,no,no,no,no
blue-collar,divorced,basic.4y,unknown,yes,no,no
blue-collar,married,basic.6y,unknown,yes,yes,no
admin.,married,high.school,unknown,no,no,no
technician,divorced,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
entrepreneur,married,high.school,no,unknown,unknown,no
admin.,single,high.school,no,no,yes,no
technician,single,university.degree,unknown,no,no,no
housemaid,married,basic.6y,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
admin.,married,professional.course,no,no,no,no
blue-collar,married,basic.4y,no,yes,yes,no
blue-collar,married,professional.course,unknown,yes,yes,no
admin.,divorced,university.degree,no,yes,no,no
services,married,high.school,unknown,yes,no,no
management,divorced,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
admin.,divorced,university.degree,unknown,no,no,no
housemaid,married,basic.4y,no,yes,no,no
services,married,high.school,unknown,yes,no,no
admin.,married,unknown,no,no,no,no
admin.,single,high.school,no,no,no,no
management,married,university.degree,unknown,no,no,no
retired,married,high.school,unknown,no,no,no
technician,married,university.degree,no,no,yes,no
technician,married,high.school,no,unknown,unknown,no
technician,married,professional.course,no,no,no,no
technician,married,professional.course,no,yes,no,no
blue-collar,single,high.school,unknown,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
admin.,divorced,unknown,unknown,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
services,divorced,high.school,unknown,yes,no,no
admin.,married,university.degree,no,no,no,no
technician,single,professional.course,no,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
services,divorced,basic.9y,no,yes,no,no
technician,married,professional.course,no,no,yes,no
technician,single,university.degree,unknown,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
services,single,high.school,no,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,married,basic.9y,no,yes,no,no
admin.,married,university.degree,no,no,no,no
admin.,married,unknown,no,yes,no,yes
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
admin.,single,unknown,no,yes,no,no
management,divorced,university.degree,no,no,no,no
unknown,married,high.school,unknown,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,single,university.degree,unknown,no,no,no
admin.,married,high.school,no,no,yes,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,divorced,basic.4y,unknown,no,no,no
blue-collar,married,high.school,no,yes,no,no
admin.,married,high.school,unknown,yes,no,no
management,married,university.degree,unknown,no,yes,no
management,divorced,university.degree,no,no,yes,no
services,single,high.school,no,yes,yes,no
admin.,married,university.degree,no,yes,no,no
services,married,high.school,no,no,no,no
admin.,married,high.school,unknown,no,no,no
blue-collar,married,basic.9y,no,no,no,yes
self-employed,single,university.degree,no,no,no,no
management,married,university.degree,unknown,no,no,no
entrepreneur,married,university.degree,unknown,yes,no,no
technician,single,professional.course,no,yes,no,no
management,married,university.degree,no,no,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,single,high.school,no,yes,no,no
technician,divorced,university.degree,no,yes,no,no
management,divorced,university.degree,no,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
management,married,unknown,unknown,yes,yes,no
admin.,married,university.degree,no,no,no,no
self-employed,single,university.degree,no,yes,no,no
unknown,married,unknown,unknown,yes,no,no
blue-collar,single,basic.4y,no,yes,no,no
self-employed,married,university.degree,no,yes,yes,no
blue-collar,married,basic.4y,unknown,yes,yes,no
blue-collar,divorced,basic.4y,unknown,yes,no,no
admin.,single,university.degree,no,yes,yes,no
blue-collar,married,basic.4y,no,no,no,no
housemaid,married,basic.6y,no,yes,no,no
admin.,married,university.degree,no,no,no,no
admin.,married,university.degree,no,no,no,no
technician,married,university.degree,no,no,no,no
technician,single,professional.course,no,yes,no,no
blue-collar,married,professional.course,no,no,no,no
services,divorced,professional.course,unknown,no,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,married,high.school,no,yes,no,no
services,single,university.degree,unknown,no,no,yes
blue-collar,married,basic.9y,no,no,no,no
services,divorced,high.school,unknown,yes,no,no
technician,married,professional.course,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
entrepreneur,married,basic.9y,no,yes,no,no
admin.,married,university.degree,no,no,no,no
services,divorced,high.school,no,no,no,no
admin.,divorced,university.degree,no,no,no,no
admin.,married,high.school,no,no,no,no
admin.,married,high.school,unknown,yes,no,no
blue-collar,single,basic.4y,no,no,no,no
unemployed,single,university.degree,no,no,no,no
services,married,basic.9y,no,yes,no,no
admin.,married,high.school,no,yes,no,no
services,single,basic.6y,unknown,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
retired,married,basic.9y,unknown,no,no,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
services,married,high.school,unknown,no,no,no
blue-collar,married,unknown,no,no,no,no
unknown,married,basic.9y,no,no,no,no
admin.,divorced,university.degree,no,yes,no,no
retired,married,basic.9y,no,yes,no,no
entrepreneur,married,university.degree,unknown,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,high.school,no,no,yes,no
management,divorced,university.degree,no,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,no,yes
technician,married,professional.course,no,no,no,no
admin.,married,high.school,no,no,yes,no
retired,divorced,basic.4y,no,no,no,no
admin.,married,high.school,no,no,yes,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,single,university.degree,no,no,no,no
technician,married,professional.course,no,yes,no,no
services,married,high.school,no,no,yes,no
management,single,university.degree,no,no,no,no
admin.,married,university.degree,no,no,yes,no
management,married,high.school,no,yes,no,no
admin.,married,high.school,no,yes,no,no
housemaid,married,basic.4y,no,yes,yes,no
blue-collar,single,unknown,no,no,no,no
retired,divorced,basic.6y,unknown,no,no,no
admin.,divorced,university.degree,unknown,no,no,no
services,married,high.school,no,yes,no,no
technician,married,university.degree,no,no,yes,no
admin.,married,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
entrepreneur,single,university.degree,unknown,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
admin.,divorced,basic.9y,unknown,yes,no,no
housemaid,married,high.school,no,yes,no,no
housemaid,married,professional.course,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,yes,no
blue-collar,divorced,unknown,no,no,yes,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
technician,married,professional.course,no,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
retired,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
management,married,basic.6y,unknown,no,no,no
admin.,married,university.degree,no,yes,no,no
technician,divorced,professional.course,no,no,no,no
technician,married,high.school,no,no,no,no
technician,married,professional.course,no,yes,yes,no
technician,married,university.degree,no,yes,no,no
admin.,married,high.school,no,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,high.school,no,yes,no,no
technician,single,university.degree,no,no,no,no
technician,divorced,professional.course,unknown,yes,no,no
blue-collar,married,high.school,unknown,no,no,yes
admin.,single,high.school,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
services,divorced,basic.4y,unknown,no,no,no
admin.,single,university.degree,unknown,no,no,no
technician,married,professional.course,no,no,no,no
blue-collar,married,unknown,unknown,yes,no,no
admin.,married,high.school,no,yes,yes,no
blue-collar,married,high.school,no,no,no,no
technician,single,professional.course,no,no,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,single,basic.4y,no,no,no,no
technician,married,basic.9y,no,yes,yes,no
retired,married,basic.4y,no,yes,no,no
entrepreneur,single,professional.course,no,no,no,no
blue-collar,married,basic.6y,no,no,yes,no
entrepreneur,married,professional.course,no,yes,no,no
unemployed,married,professional.course,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
housemaid,married,high.school,unknown,yes,yes,no
services,married,high.school,unknown,yes,no,no
services,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.6y,unknown,unknown,unknown,no
blue-collar,married,basic.4y,unknown,no,no,no
admin.,single,high.school,unknown,yes,no,no
services,married,high.school,unknown,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
technician,divorced,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,married,university.degree,no,yes,no,no
services,married,high.school,unknown,no,no,no
entrepreneur,married,unknown,unknown,no,no,no
housemaid,divorced,basic.9y,no,yes,no,no
technician,single,university.degree,no,yes,no,no
admin.,married,university.degree,no,no,no,no
management,married,basic.6y,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
services,single,high.school,no,yes,no,no
blue-collar,married,high.school,no,no,no,no
technician,married,professional.course,unknown,yes,no,no
blue-collar,married,basic.6y,no,no,yes,no
unemployed,single,basic.4y,no,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
entrepreneur,divorced,university.degree,no,yes,yes,no
services,married,basic.6y,no,no,no,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,no
services,single,basic.9y,unknown,no,yes,no
management,married,university.degree,unknown,no,yes,no
housemaid,married,professional.course,no,no,yes,no
student,single,university.degree,unknown,yes,yes,yes
admin.,married,high.school,no,unknown,unknown,no
unemployed,single,university.degree,no,no,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
technician,single,professional.course,no,yes,yes,no
technician,married,professional.course,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,yes,no
services,single,high.school,no,no,no,no
blue-collar,divorced,basic.4y,no,no,no,no
management,divorced,university.degree,no,no,no,no
blue-collar,divorced,professional.course,no,no,no,no
technician,divorced,professional.course,unknown,no,no,no
student,single,university.degree,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
services,married,high.school,no,no,yes,no
retired,divorced,university.degree,no,no,no,yes
self-employed,married,university.degree,no,no,no,no
management,married,basic.9y,unknown,yes,no,no
services,married,high.school,no,no,no,no
entrepreneur,married,high.school,no,no,no,no
technician,single,professional.course,unknown,no,no,yes
services,married,high.school,no,no,no,no
unknown,married,basic.6y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
services,single,basic.9y,no,no,no,no
admin.,married,high.school,no,no,no,no
admin.,married,high.school,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
blue-collar,single,professional.course,no,yes,no,no
services,married,high.school,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
management,married,basic.4y,unknown,yes,no,no
housemaid,married,high.school,no,no,no,no
entrepreneur,married,basic.6y,unknown,no,yes,no
blue-collar,married,basic.9y,no,yes,no,no
technician,single,university.degree,no,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
technician,married,university.degree,no,no,no,no
unemployed,married,basic.6y,unknown,yes,no,no
services,married,high.school,no,yes,no,no
admin.,married,professional.course,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
technician,single,university.degree,no,yes,no,no
entrepreneur,married,basic.4y,no,yes,no,no
management,married,unknown,unknown,no,no,no
services,single,basic.6y,unknown,no,no,no
blue-collar,divorced,basic.4y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
entrepreneur,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,divorced,basic.4y,unknown,no,yes,no
blue-collar,single,basic.4y,no,yes,no,no
services,single,high.school,no,yes,no,no
retired,married,basic.4y,no,yes,no,no
unemployed,married,university.degree,unknown,no,no,no
management,single,university.degree,no,no,no,no
technician,single,university.degree,no,no,no,yes
management,married,high.school,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,divorced,basic.9y,no,yes,no,no
technician,married,professional.course,no,no,yes,no
admin.,married,high.school,no,no,no,no
blue-collar,single,high.school,no,no,no,no
blue-collar,married,unknown,no,no,no,no
blue-collar,married,basic.9y,no,no,no,yes
blue-collar,married,basic.6y,no,unknown,unknown,no
blue-collar,married,basic.6y,unknown,no,no,no
housemaid,married,basic.9y,no,no,no,no
technician,married,university.degree,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
services,single,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
technician,married,university.degree,unknown,no,no,no
retired,single,high.school,no,no,yes,no
admin.,single,high.school,no,no,no,no
blue-collar,single,high.school,no,no,no,yes
admin.,married,high.school,no,no,yes,no
technician,married,professional.course,no,no,no,no
unemployed,divorced,high.school,no,no,no,no
admin.,married,high.school,no,yes,no,no
student,single,university.degree,no,unknown,unknown,no
blue-collar,single,basic.4y,unknown,yes,no,no
unemployed,married,professional.course,no,no,no,no
self-employed,married,university.degree,no,yes,no,no
services,married,high.school,unknown,yes,no,no
blue-collar,married,basic.6y,no,no,no,no
management,divorced,university.degree,unknown,no,no,no
blue-collar,divorced,basic.9y,unknown,no,no,no
unknown,single,unknown,unknown,yes,no,no
entrepreneur,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,unknown,no,no,no
housemaid,single,unknown,no,no,yes,no
technician,married,basic.9y,no,yes,no,no
retired,divorced,university.degree,no,yes,yes,no
services,married,high.school,unknown,no,yes,no
blue-collar,married,basic.4y,unknown,yes,no,no
management,married,university.degree,no,yes,no,no
technician,married,professional.course,no,yes,yes,no
blue-collar,married,basic.4y,no,no,yes,no
management,single,university.degree,no,no,no,no
management,married,university.degree,unknown,no,no,no
blue-collar,married,basic.4y,no,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
services,married,high.school,unknown,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
technician,married,high.school,no,yes,no,no
retired,married,basic.4y,no,no,no,no
self-employed,married,university.degree,unknown,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,basic.4y,no,no,yes,no
blue-collar,married,basic.9y,no,yes,no,no
technician,married,basic.6y,unknown,no,no,no
management,married,basic.9y,no,yes,no,yes
blue-collar,married,basic.9y,no,yes,no,no
retired,divorced,basic.4y,unknown,yes,no,no
admin.,single,high.school,no,yes,no,no
blue-collar,single,high.school,no,yes,yes,no
admin.,single,university.degree,no,no,yes,no
admin.,single,university.degree,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
self-employed,married,professional.course,no,yes,no,no
student,single,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
admin.,single,high.school,no,no,no,no
services,married,high.school,unknown,yes,no,no
management,married,university.degree,no,yes,yes,yes
blue-collar,divorced,basic.9y,no,yes,no,no
entrepreneur,married,university.degree,no,no,no,no
entrepreneur,married,unknown,unknown,yes,no,no
admin.,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,yes,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
technician,married,professional.course,no,no,yes,no
blue-collar,divorced,basic.9y,no,yes,no,no
admin.,single,basic.9y,unknown,no,yes,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,high.school,no,yes,no,no
self-employed,married,basic.9y,unknown,yes,no,no
services,married,high.school,no,no,no,no
blue-collar,married,high.school,unknown,no,no,no
admin.,single,university.degree,no,yes,no,no
admin.,single,high.school,no,no,yes,no
blue-collar,married,unknown,no,no,yes,no
blue-collar,married,basic.9y,no,no,yes,no
blue-collar,married,high.school,no,yes,no,no
services,single,university.degree,unknown,no,yes,no
admin.,married,basic.9y,no,no,yes,no
blue-collar,married,basic.6y,no,no,yes,no
technician,single,professional.course,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
self-employed,married,basic.9y,no,no,yes,no
self-employed,married,university.degree,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
admin.,single,university.degree,unknown,yes,no,yes
management,married,basic.4y,unknown,yes,no,no
management,married,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,yes,no,yes
services,married,high.school,no,no,no,no
technician,married,university.degree,unknown,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
admin.,single,university.degree,unknown,no,no,no
blue-collar,single,basic.9y,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
unemployed,divorced,basic.9y,no,yes,no,no
entrepreneur,married,unknown,no,no,no,no
unknown,married,basic.4y,unknown,yes,no,no
self-employed,married,university.degree,no,yes,no,no
unemployed,married,professional.course,no,no,no,no
blue-collar,married,basic.4y,no,yes,yes,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,single,high.school,no,no,no,no
technician,single,university.degree,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
retired,married,basic.9y,unknown,no,no,no
admin.,married,high.school,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
admin.,divorced,university.degree,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,married,high.school,no,no,no,no
self-employed,married,basic.9y,no,yes,no,no
management,married,university.degree,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
admin.,married,university.degree,no,yes,yes,no
entrepreneur,married,high.school,unknown,yes,no,no
admin.,married,high.school,no,yes,no,no
management,married,university.degree,no,yes,yes,no
services,married,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,yes,yes,no
services,married,high.school,no,no,no,no
services,married,high.school,unknown,no,no,no
housemaid,married,basic.4y,no,unknown,unknown,no
technician,divorced,unknown,no,yes,yes,no
blue-collar,married,basic.6y,unknown,no,no,yes
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.4y,no,no,no,no
technician,married,unknown,unknown,yes,no,no
admin.,married,university.degree,no,yes,no,no
services,married,high.school,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
admin.,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,yes,no
management,divorced,university.degree,unknown,yes,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,divorced,basic.9y,unknown,no,yes,no
admin.,divorced,high.school,no,no,no,no
admin.,divorced,professional.course,no,yes,no,no
housemaid,married,high.school,no,no,no,no
entrepreneur,married,basic.6y,no,no,yes,no
admin.,divorced,university.degree,no,no,no,no
admin.,single,high.school,no,yes,no,no
admin.,married,high.school,no,yes,yes,no
technician,married,university.degree,unknown,no,no,no
management,single,university.degree,no,yes,no,no
blue-collar,divorced,basic.9y,no,yes,no,no
services,married,high.school,no,no,yes,no
admin.,single,high.school,unknown,no,no,no
unemployed,married,basic.9y,no,no,no,no
admin.,single,university.degree,no,no,no,no
admin.,single,university.degree,no,no,no,no
blue-collar,single,unknown,unknown,yes,no,no
unemployed,married,basic.6y,no,yes,no,no
admin.,married,basic.9y,no,no,no,no
self-employed,married,university.degree,unknown,no,no,no
technician,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,divorced,university.degree,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,single,high.school,no,no,no,yes
unemployed,married,high.school,no,no,no,no
admin.,married,university.degree,unknown,yes,no,no
services,married,university.degree,unknown,yes,no,no
blue-collar,single,basic.4y,no,no,no,no
unemployed,divorced,basic.4y,no,yes,no,yes
blue-collar,married,basic.6y,no,unknown,unknown,no
blue-collar,single,basic.9y,unknown,yes,no,no
management,married,university.degree,no,no,no,no
blue-collar,single,high.school,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,yes
admin.,married,university.degree,unknown,no,no,no
blue-collar,married,basic.9y,no,no,yes,yes
student,single,university.degree,unknown,no,no,no
services,single,high.school,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
self-employed,married,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,no,no,no
technician,married,professional.course,no,no,yes,no
services,divorced,professional.course,no,no,no,no
technician,married,professional.course,no,yes,no,no
self-employed,married,university.degree,no,no,no,no
blue-collar,single,high.school,no,yes,no,no
blue-collar,married,basic.9y,no,yes,yes,no
unemployed,married,basic.6y,unknown,no,no,no
technician,married,professional.course,no,no,no,no
admin.,married,high.school,no,no,no,no
admin.,married,unknown,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,married,professional.course,no,yes,no,no
blue-collar,divorced,unknown,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
services,divorced,basic.6y,no,no,no,no
admin.,married,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,divorced,unknown,unknown,no,no,no
blue-collar,divorced,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
technician,single,professional.course,no,no,yes,no
admin.,married,university.degree,no,yes,no,no
technician,married,high.school,no,no,no,no
blue-collar,single,high.school,no,yes,no,no
admin.,married,high.school,no,no,no,no
blue-collar,divorced,basic.9y,no,no,no,no
admin.,married,high.school,no,no,yes,no
admin.,married,university.degree,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
blue-collar,married,high.school,no,yes,no,no
blue-collar,divorced,basic.4y,no,no,no,no
admin.,single,university.degree,unknown,yes,no,no
services,divorced,basic.4y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
management,married,basic.9y,unknown,yes,no,no
admin.,married,high.school,no,no,no,no
services,married,high.school,no,no,no,no
services,married,high.school,unknown,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,unknown,unknown,no,no,no
technician,single,professional.course,no,no,no,no
services,married,high.school,unknown,no,no,no
housemaid,married,university.degree,no,no,yes,no
services,single,high.school,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
admin.,single,university.degree,unknown,yes,no,no
blue-collar,divorced,basic.9y,unknown,no,yes,yes
self-employed,married,university.degree,no,no,no,no
management,single,university.degree,no,yes,no,no
retired,single,high.school,no,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,single,high.school,no,yes,no,no
technician,married,unknown,no,no,no,no
blue-collar,single,basic.9y,unknown,no,no,no
services,married,unknown,no,yes,no,no
retired,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.9y,no,no,no,no
services,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,yes,no
services,married,high.school,no,no,no,no
blue-collar,married,basic.9y,no,yes,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,divorced,basic.9y,no,no,no,yes
admin.,single,university.degree,unknown,no,yes,no
blue-collar,married,basic.4y,no,no,no,no
admin.,married,high.school,no,yes,no,no
admin.,single,university.degree,unknown,no,no,no
housemaid,divorced,basic.6y,no,yes,no,no
admin.,single,high.school,no,yes,no,no
management,single,university.degree,no,no,no,no
entrepreneur,married,high.school,no,no,yes,no
housemaid,married,basic.4y,no,yes,no,no
self-employed,married,basic.4y,unknown,unknown,unknown,no
blue-collar,married,basic.9y,unknown,no,no,no
retired,married,professional.course,no,yes,no,no
technician,divorced,professional.course,no,yes,no,no
self-employed,single,professional.course,no,no,no,no
blue-collar,single,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
services,single,high.school,unknown,no,yes,no
self-employed,married,high.school,unknown,yes,no,no
services,married,high.school,no,yes,no,no
self-employed,divorced,university.degree,no,no,yes,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,high.school,unknown,yes,no,no
services,divorced,basic.6y,no,no,no,no
admin.,married,university.degree,no,yes,no,no
management,married,university.degree,no,no,no,no
blue-collar,married,basic.4y,no,no,no,no
management,married,high.school,no,yes,no,no
services,single,high.school,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
unemployed,married,high.school,unknown,yes,no,no
blue-collar,married,professional.course,no,no,no,no
technician,married,high.school,no,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
technician,married,professional.course,no,no,no,no
admin.,married,high.school,unknown,no,no,no
admin.,married,university.degree,no,no,no,no
services,single,high.school,no,no,no,no
admin.,single,university.degree,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
admin.,married,high.school,unknown,yes,no,no
blue-collar,single,basic.9y,no,no,no,no
entrepreneur,married,university.degree,no,no,no,no
unemployed,married,high.school,unknown,no,no,no
blue-collar,married,basic.9y,no,no,no,no
blue-collar,married,basic.9y,no,no,no,no
admin.,married,university.degree,no,yes,no,no
entrepreneur,married,high.school,no,no,no,no
admin.,divorced,unknown,unknown,no,no,no
unemployed,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.6y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
services,married,high.school,unknown,no,no,no
admin.,single,high.school,no,yes,no,no
technician,married,university.degree,unknown,no,yes,yes
services,married,high.school,unknown,no,no,no
blue-collar,single,basic.9y,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
technician,single,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
retired,married,basic.4y,unknown,no,no,no
admin.,single,high.school,no,yes,yes,no
services,divorced,basic.9y,no,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
entrepreneur,married,basic.4y,no,yes,no,no
retired,married,basic.4y,no,no,no,yes
admin.,single,university.degree,no,no,yes,no
technician,married,professional.course,no,no,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,professional.course,unknown,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,married,high.school,unknown,yes,yes,no
services,married,high.school,unknown,yes,no,no
technician,married,professional.course,no,yes,no,no
management,married,university.degree,unknown,no,yes,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
student,single,high.school,no,no,no,yes
technician,single,high.school,no,unknown,unknown,no
unknown,married,basic.6y,no,no,no,no
admin.,married,university.degree,no,no,no,no
admin.,divorced,high.school,no,no,no,no
blue-collar,married,basic.9y,no,unknown,unknown,no
self-employed,married,basic.4y,no,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
unknown,single,unknown,unknown,yes,yes,no
admin.,divorced,unknown,unknown,no,no,no
blue-collar,single,basic.4y,no,no,no,no
blue-collar,married,professional.course,no,yes,no,no
admin.,divorced,university.degree,no,no,no,no
unknown,single,high.school,unknown,yes,yes,yes
admin.,married,high.school,no,yes,no,yes
entrepreneur,married,basic.6y,unknown,no,no,no
blue-collar,single,basic.6y,no,no,no,no
blue-collar,single,university.degree,no,no,no,no
unemployed,married,high.school,unknown,no,no,no
admin.,married,university.degree,no,yes,no,no
admin.,single,university.degree,no,no,yes,yes
admin.,single,high.school,no,yes,yes,no
admin.,married,university.degree,no,no,no,no
technician,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
admin.,married,high.school,no,yes,no,no
admin.,married,basic.6y,no,yes,yes,no
admin.,single,high.school,no,no,no,yes
admin.,married,high.school,no,no,yes,no
admin.,married,high.school,no,yes,yes,no
blue-collar,divorced,unknown,no,yes,no,no
